type,text
spam,Sex up ur mobile with a FREE sexy pic of Jorda...
ham,Ok... C ya...
spam,You have 1 new voicemail. Please call 08719181503
ham,What he said is not the matter. My mind saying...
ham,He also knows about lunch menu only da. . I know
ham,Al he does is moan at me if n e thin goes wron...
ham,NEFT Transaction with reference number &lt;#&...
ham,Otherwise had part time job na-tuition..
ham,I know she called me
ham,"Me also da, i feel yesterday night wait til 2..."
ham,Thanks for understanding. I've been trying to ...
spam,WIN a year supply of CDs 4 a store of ur choic...
ham,The whole car appreciated the last two! Dad an...
spam,"As a SIM subscriber, you are selected to recei..."
ham,I need you to be in my strong arms...
ham,Also maaaan are you missing out
ham,His bday real is in april .
ham,Guessin you ain't gonna be here before 9?
ham,Ok then i will come to ur home after half an hour
ham,"Yo, the game almost over? Want to go to walmar..."
ham,"Yeah, probably but not sure. Ilol let u know, ..."
ham,I'll text now! All creepy like so he won't thi...
ham,that would be good ?I'll phone you tomo luncht...
spam,You have 1 new voicemail. Please call 08719181...
ham,"Damn, can you make it tonight or do you want t..."
ham,K..k..i'm also fine:)when will you complete th...
ham,True. It is passable. And if you get a high sc...
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt...
ham,Prakesh is there know.
ham,Teach me apps da. When you come to college.
ham,Rofl betta invest in some anti aging products
spam,You are a winner U have been specially selecte...
ham,"sir, you will receive the account no another 1..."
spam,Reply with your name and address and YOU WILL ...
ham,So ¨¹'ll be submitting da project tmr rite?
spam,FREE entry into our ?250 weekly comp just send...
ham,Jus ans me lar. U'll noe later.
ham,I want to send something that can sell fast. ...
ham,have got * few things to do. may be in * pub l...
ham,1's finish meeting call me.
ham,Lol ok. I'll snatch her purse too.
ham,"""Hello-/@drivby-:0quit edrunk sorry iff pthis ..."
ham,Your opinion about me? 1. Over 2. Jada 3. Kusr...
ham,How much are we getting?
ham,Is ur paper in e morn or aft tmr?
ham,"Dear relieved of westonzoyland, all going to p..."
ham,Hope you are having a great new semester. Do w...
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get ...
ham,"I want to show you the world, princess :) how ..."
ham,Nobody can decide where to eat and dad wants C...
ham,No shoot me. I'm in the docs waiting room. :/
ham,Now? I'm going out 4 dinner soon..
ham,Hello which the site to download songs its urg...
ham,"I do know what u mean, is the king of not hav..."
ham,Horrible gal. Me in sch doing some stuff. How ...
ham,HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORR...
ham,"I call you later, don't have network. If urgnt..."
ham,Ummmmmaah Many many happy returns of d day my ...
spam,Please CALL 08712402779 immediately as there i...
ham,Yeah like if it goes like it did with my frien...
ham,Mum say we wan to go then go... Then she can s...
ham,What your plan for pongal?
ham,Just wait till end of march when el nino gets ...
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,Am also doing in cbe only. But have to pay.
ham,Honey boo I'm missing u.
ham,We have sent JD for Customer Service cum Accou...
ham,"Yo, I'm at my parents' gettin cash. Good news:..."
ham,Thank you so much. When we skyped wit kz and s...
spam,"Hungry gay guys feeling hungry and up 4 it, no..."
ham,Ok. No wahala. Just remember that a friend in ...
ham,I will see in half an hour
ham,"""Hey sorry I didntgive ya a a bellearlier hunn..."
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
spam,Can U get 2 phone NOW? I wanna chat 2 set up m...
ham,"Tee hee. Off to lecture, cheery bye bye."
ham,"Sorry chikku, my cell got some problem thts y ..."
ham,If you still havent collected the dough pls le...
ham,Ok...
spam,network operator. The service is free. For T &...
ham,Let me know how to contact you. I've you settl...
ham,Wot u up 2 u weirdo?
ham,Can do lor...
ham,Dont put your phone on silent mode ok
ham,Can i meet ¨¹ at 5.. As 4 where depends on whe...
ham,Waiting 4 my tv show 2 start lor... U leh stil...
ham,Oh ho. Is this the first time u use these type...
ham,Am I the only one who doesn't stalk profiles?
ham,Ever green quote ever told by Jerry in cartoon...
ham,Yes i thought so. Thanks.
ham,But if she.s drinkin i'm ok.
ham,"Just wondering, the others just took off"
ham,"Night has ended for another day, morning has c..."
ham,"What do you do, my dog ? Must I always wait ti..."
ham,Happy new year to u too!
ham,Hey...Great deal...Farm tour 9am to 5pm $95/pa...
ham,Eat jap done oso aft ur lect wat... ? got lect...
ham,Hey babe! I saw you came online for a second a...
ham,Da my birthdate in certificate is in april but...
ham,Happy birthday... May all ur dreams come true...
ham,Aiyah u did ok already lar. E nydc at wheellock?
ham,TELL HER I SAID EAT SHIT.
ham,Sure! I am driving but will reach my destinati...
ham,"K so am I, how much for an 8th? Fifty?"
ham,Your daily text from me ?a favour this time
ham,Great to hear you are settling well. So what's...
ham,Those cocksuckers. If it makes you feel better...
ham,I tot u reach liao. He said t-shirt.
ham,FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROK...
ham,I cant pick the phone right now. Pls send a me...
ham,Your right! I'll make the appointment right now.
ham,Designation is software developer and may be s...
spam,Enjoy the jamster videosound gold club with yo...
spam,"Get 3 Lions England tone, reply lionm 4 mono o..."
ham,I jokin oni lar.. ? busy then i wun disturb ¨¹.
ham,"Ok, be careful ! Don't text and drive !"
ham,"I.ll always be there, even if its just in spir..."
ham,U r too much close to my heart. If u go away i...
ham,I love u 2 babe! R u sure everything is alrite...
ham,How abt making some of the pics bigger?
ham,Got but got 2 colours lor. One colour is quite...
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im he..."
ham,Why nothing. Ok anyway give me treat
spam,Win the newest ¡°Harry Potter and the Order of...
ham,Ok...
ham,Correct. So how was work today
ham,Just sent again. Do you scream and moan in bed...
ham,"I wake up long ago already... Dunno, what othe..."
ham,Oh just getting even with u.... u?
ham,I thk 50 shd be ok he said plus minus 10.. Did...
ham,Can you call me plz. Your number shows out of ...
ham,Yeah jay's sort of a fucking retard
ham,"Sorry, was in the bathroom, sup"
spam,Ur balance is now ?500. Ur next question is: W...
ham,My exam is for february 4. Wish you a great day.
ham,I dont know what to do to come out of this so ...
ham,"Aight no rush, I'll ask jay"
ham,Good Morning plz call me sir
ham,It's ok lar. U sleep early too... Nite...
ham,"Oh... Icic... K lor, den meet other day..."
ham,Oh ! A half hour is much longer in Syria than ...
ham,"Sometimes we put walls around our hearts,not j..."
ham,"Sweet, we may or may not go to 4U to meet carl..."
ham,Then she buying today? ? no need to c meh...
ham,Aight sorry I take ten years to shower. What's...
ham,Every monday..nxt week vl be completing..
ham,Might ax well im there.
ham,Just chill for another 6hrs. If you could slee...
ham,Yeah I'll try to scrounge something up
ham,Crazy ar he's married. ? like gd looking guys ...
ham,Were somewhere on Fredericksburg
ham,Que pases un buen tiempo or something like that
ham,Is it ok if I stay the night here? Xavier has ...
ham,She doesnt need any test.
ham,"Nothing much, chillin at home. Any super bowl ..."
spam,FREE2DAY sexy St George's Day pic of Jordan!Tx...
ham,Bugis oso near wat...
ham,Yo theres no class tmrw right?
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur S...
ham,"Goodnight, sleep well da please take care pa. ..."
ham,Baaaaabe! I misss youuuuu ! Where are you ? I ...
ham,Convey my regards to him
ham,U ned to convince him tht its not possible wit...
ham,Good afternoon loverboy ! How goes you day ? A...
ham,If i start sending blackberry torch to nigeria...
ham,&lt;#&gt; %of pple marry with their lovers... ...
ham,Yo dude guess who just got arrested the other day
ham,Shuhui say change 2 suntec steamboat? U noe wh...
ham,What does the dance river do?
ham,"Yetunde, i'm sorry but moji and i seem too bus..."
ham,Hey i will be really pretty late... You want t...
spam,HOT LIVE FANTASIES call now 08707509020 Just 2...
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
ham,Did you try making another butt.
ham,Hope you are feeling great. Pls fill me in. Ab...
ham,I though we shd go out n have some fun so bar ...
ham,1) Go to write msg 2) Put on Dictionary mode 3...
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In..."
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA..."
ham,We're finally ready fyi
ham,Auntie huai juan never pick up her phone
spam,Double Mins & Double Txt & 1/2 price Linerenta...
ham,"Ya tel, wats ur problem.."
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt...
ham,i dnt wnt to tlk wid u
ham,We spend our days waiting for the ideal path t...
ham,Its ok my arm is feeling weak cuz i got a shot...
ham,Please reserve ticket on saturday eve from che...
ham,"Storming msg: Wen u lift d phne, u say ""HELLO""..."
ham,That's ok. I popped in to ask bout something a...
ham,All e best 4 ur exam later.
ham,Hope ur head doesn't hurt 2 much ! Am ploughin...
ham,Oh k.i think most of wi and nz players unsold.
ham,"Haha... Where got so fast lose weight, thk muz..."
ham,"I wonder how you got online, my love ? Had you..."
ham,"Haha just kidding, papa needs drugs"
ham,"Thk shld b can... Ya, i wana go 4 lessons... H..."
ham,Oh ok..
ham,R we still meeting 4 dinner tonight?
ham,Thats cool! I am a gentleman and will treat yo...
ham,Shall i start from hear.
ham,Then we wait 4 u lor... No need 2 feel bad lar...
ham,No did you check? I got his detailed message now
ham,You have registered Sinco as Payee. Log in at ...
ham,"No, I decided that only people who care about ..."
ham,Kaiez... Enjoy ur tuition... Gee... Thk e seco...
ham,You have registered Sinco as Payee. Log in at ...
ham,cool. We will have fun practicing making babies!
ham,Actually getting ready to leave the house.
ham,K..k..any special today?
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TOD..."
ham,Then we gotta do it after that
ham,"I've got ten bucks, jay is being noncomittal"
ham,Where at were hungry too
ham,Pls speak to that customer machan.
ham,somewhere out there beneath the pale moon ligh...
ham,"Wen ur lovable bcums angry wid u, dnt take it ..."
spam,Dear U've been invited to XCHAT. This is our f...
ham,So wats ur opinion abt him and how abt is char...
ham,Jay is snickering and tells me that x is total...
ham,No..few hours before.went to hair cut .
ham,No wonder... Cos i dun rem seeing a silver car...
ham,Lmao. Take a pic and send it to me.
ham,"""Speak only when you feel your words are bette..."
ham,No. She's currently in scotland for that.
ham,Do you work all this week ?
spam,Congratulations ur awarded either ?500 of CD g...
ham,Lol great now im getting hungry.
ham,Yes.. now only saw your message..
ham,I'll be at mu in like &lt;#&gt; seconds
ham,Ok...
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE...
ham,"Tell you what, if you make a little spreadshee..."
spam,For sale - arsenal dartboard. Good condition b...
ham,Don't look back at the building because you ha...
ham,"My painful personal thought- ""I always try to ..."
ham,Thanks for ve lovely wisheds. You rock
ham,You intrepid duo you! Have a great time and se...
ham,I asked sen to come chennai and search for job.
ham,Dad went out oredi...
ham,I jus hope its true that missin me cos i'm re...
ham,Wat so late still early mah. Or we juz go 4 di...
ham,"Arms fine, how's Cardiff and uni?"
ham,In fact when do you leave? I think addie goes ...
ham,Cool breeze... Bright sun... Fresh flower... T...
ham,Ya:)going for restaurant..
ham,"Its ok., i just askd did u knw tht no?"
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win...
ham,Those ducking chinchillas
ham,I am in a marriage function
ham,Looks like u wil b getting a headstart im leav...
ham,Don¡®t give a flying monkeys wot they think an...
spam,As a registered optin subscriber ur draw 4 ?10...
ham,say thanks2.
ham,Msg me when rajini comes.
ham,Ya! when are ¨¹ taking ure practical lessons? ...
ham,"That's good, because I need drugs"
ham,Stupid.its not possible
ham,Can ¨¹ all decide faster cos my sis going home...
spam,Summers finally here! Fancy a chat or flirt wi...
ham,U sleeping now.. Or you going to take? Haha.. ...
spam,CLAIRE here am havin borin time & am now alone...
ham,"Fighting with the world is easy, u either win ..."
spam,Bought one ringtone and now getting texts cost...
ham,Yalru lyfu astne chikku.. Bt innu mundhe lyf a...
ham,Kinda. First one gets in at twelve! Aah. Speak...
spam,09066362231 URGENT! Your mobile No 07xxxxxxxxx...
ham,Ok good then i later come find ¨¹... C lucky i...
ham,Wat makes u thk i'll fall down. But actually i...
spam,YOU 07801543489 are guaranteed the latests Nok...
ham,Your account has been refilled successfully by...
ham,I wont touch you with out your permission.
spam,Hi its LUCY Hubby at meetins all day Fri & I w...
ham,7 wonders in My WORLD 7th You 6th Ur style 5th...
ham,Take some small dose tablet for fever
ham,Oh. U must have taken your REAL Valentine out ...
ham,Just sent you an email ?to an address with inc...
ham,"Will do, you gonna be at blake's all night? I ..."
ham,"Friendship is not a game to play, It is not a ..."
ham,Nice. Wait...should you be texting right now? ...
ham,I'm watching lotr w my sis dis aft. So u wan 2...
ham,Why you keeping me away like this
ham,I think its far more than that but find out. C...
ham,My trip was ok but quite tiring lor. Uni start...
ham,Have you always been saying welp?
ham,"I'm a guy, browsin is compulsory"
ham,Ok...
ham,Purity of friendship between two is not about ...
ham,"Sorry, I'll call later"
ham,(I should add that I don't really care and if ...
ham,Hello lover! How goes that new job? Are you th...
ham,I told your number to gautham..
ham,Tell them no need to investigate about me anyw...
ham,Ok i juz receive..
ham,Cant believe i said so many things to you this...
spam,Your account has been credited with 500 FREE T...
ham,In the end she might still vomit but its okay....
ham,How are you with moneY...as in to you...money ...
ham,It has everything to do with the weather. Keep...
ham,Hey gals.. Anyone of u going down to e driving...
ham,I'm always on yahoo messenger now. Just send t...
ham,I'm putting it on now. It should be ready for ...
ham,Time n Smile r the two crucial things in our l...
spam,"SMS. ac JSco: Energy is high, but u may not kn..."
ham,Host-based IDPS for linux systems.
spam,HOT LIVE FANTASIES call now 08707509020 Just 2...
ham,Don no da:)whats you plan?
ham,Ill be there on &lt;#&gt; ok.
ham,Oh my God. I'm almost home
ham,Total video converter free download type this ...
spam,Thanks for the Vote. Now sing along with the s...
ham,"Wen ur lovable bcums angry wid u, dnt take it ..."
ham,Sounds like something that someone testing me ...
ham,When u love someone Dont make them to love u a...
ham,"Pete,is this your phone still? Its Jenny from ..."
ham,Oops sorry. Just to check that you don't mind ...
ham,"Hey sweet, I was wondering when you had a mome..."
ham,Hows the champ just leaving glasgow!
ham,K:)all the best:)congrats...
ham,I wonder if you'll get this text?
ham,I need to come home and give you some good lov...
spam,Our brand new mobile music service is now live...
ham,Shall i ask one thing if you dont mistake me.
ham,Check wid corect speling i.e. Sarcasm
spam,"URGENT! Your Mobile No was awarded a ?2,000 Bo..."
ham,Are you angry with me. What happen dear
ham,I thk u dun haf 2 hint in e forum already lor....
ham,Yup ok thanx...
ham,Hi:)cts employee how are you?
ham,Pls pls find out from aunt nike.
ham,"Wow ... I love you sooo much, you know ? I can..."
ham,No screaming means shouting..
ham,Hey what happen de. Are you alright.
ham,Should I have picked up a receipt or something...
ham,I think chennai well settled?
ham,Oh dang! I didn't mean o send that to you! Lol!
ham,Unfortunately i've just found out that we have...
ham,Horrible bf... I now v hungry...
ham,Remember on that day..
spam,You have won a Nokia 7250i. This is what you g...
ham,How's it feel? Mr. Your not my real Valentine ...
ham,All sounds good. Fingers . Makes it difficult ...
ham,Midnight at the earliest
ham,You're not sure that I'm not trying to make xa...
ham,K come to nordstrom when you're done
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo...
ham,Now press conference da:)
spam,Hello from Orange. For 1 month's free access t...
ham,After completed degree. There is no use in joi...
ham,"Good afternoon, my love ! Any job prospects ? ..."
ham,Shant disturb u anymore... Jia you...
ham,Bishan lar nearer... No need buy so early cos ...
ham,"Me, i dont know again oh"
ham,Dude sux for snake. He got old and raiden got ...
ham,He says hi and to get your ass back to south t...
ham,In e msg jus now. U said thanks for gift.
ham,U too...
ham,Ok how you dear. Did you call chechi
ham,Yeah we do totes. When u wanna?
ham,Ok i found dis pierre cardin one which looks n...
ham,Good sleep is about rhythm. The person has to ...
ham,Wat r u doing?
ham,Message from . I am at Truro Hospital on ext. ...
ham,"Single line with a big meaning::::: ""Miss anyt..."
ham,"Just got some gas money, any chance you and th..."
ham,Dnt worry...use ice pieces in a cloth pack.als...
ham,Dude just saw a parked car with its sunroof po...
ham,Get ready to put on your excellent sub face :)
ham,Tmrw. Im finishing 9 doors
ham,"The &lt;#&gt; g that i saw a few days ago, th..."
ham,I am late. I will be there at
ham,"whatever, im pretty pissed off."
ham,Today is ACCEPT DAY..U Accept me as? Brother S...
ham,I dont have that much image in class.
ham,No:-)i got rumour that you going to buy apartm...
ham,Near kalainar tv office.thenampet
spam,Ur cash-balance is currently 500 pounds - to m...
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 a...
ham,My sis is catching e show in e afternoon so i'...
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so ..."
ham,No. To be nosy I guess. Idk am I over reacting...
ham,Remember all those whom i hurt during days of ...
ham,How to Make a girl Happy? It's not at all diff...
ham,"Why is that, princess? I bet the brothas are a..."
ham,"I shall book chez jules for half eight, if tha..."
ham,Hhahhaahahah rofl wtf nig was leonardo in your...
ham,"Yep, at derek's house now, see you Sunday &lt;3"
ham,"It's cool, let me know before it kicks off aro..."
ham,"Sorry, I'll call later"
ham,I was wondering if it would be okay for you to...
ham,There are no other charges after transfer char...
ham,"Dont search love, let love find U. Thats why i..."
ham,At 4. Let's go to bill millers
ham,I love you. You set my soul on fire. It is not...
ham,Somewhr someone is surely made 4 u. And God ha...
ham,That's my honeymoon outfit. :)
ham,Will it help if we propose going back again to...
spam,PRIVATE! Your 2003 Account Statement for shows...
ham,Never blame a day in ur life. Good days give u...
ham,Pls confirm the time to collect the cheque.
spam,As a Registered Subscriber yr draw 4 a ?100 gi...
spam,URGENT! Your Mobile number has been awarded wi...
ham,Daddy will take good care of you :)
ham,"Yeah probably, I still gotta check out with leo"
ham,K.then any other special?
ham,Carlos is taking his sweet time as usual so le...
ham,Ok pa. Nothing problem:-)
ham,Have you heard about that job? I'm going to th...
ham,"God picked up a flower and dippeditinaDEW, lov..."
ham,When you came to hostel.
ham,Ok no prob... I'll come after lunch then...
ham,Jus telling u dat i'll b leaving 4 shanghai on...
ham,Are your freezing ? Are you home yet ? Will yo...
ham,You all ready for * big day tomorrow?
ham,I'll probably be around mu a lot
ham,645
spam,RT-KIng Pro Video Club>> Need help? info@ringt...
ham,Thnx dude. u guys out 2nite?
ham,Me sef dey laugh you. Meanwhile how's my darli...
ham,Mm i had my food da from out
ham,"K, makes sense, btw carlos is being difficult ..."
ham,Did u download the fring app?
ham,The 2 oz guy is being kinda flaky but one frie...
ham,Friends that u can stay on fb chat with
ham,"Fuck babe, I miss you sooooo much !! I wish yo..."
ham,Living is very simple.. Loving is also simple....
spam,U have a secret admirer who is looking 2 make ...
ham,"Ah, well that confuses things, doesn¡®t it?"
spam,500 free text msgs. Just text ok to 80488 and ...
ham,Hi Dear Call me its urgnt. I don't know whats ...
ham,Dear how you. Are you ok?
spam,You have been selected to stay in 1 of 250 top...
ham,Yes princess! I want to make you happy...
ham,Sounds like you have many talents! would you l...
ham,I am going to film 2day da. At 6pm. Sorry da.
ham,We not watching movie already. Xy wants 2 shop...
ham,Hello my little party animal! I just thought I...
ham,Yesterday its with me only . Now am going home.
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 ..."
ham,You have come into my life and brought the sun...
ham,"No shit, but I wasn't that surprised, so I wen..."
spam,"0A$NETWORKS allow companies to bill for SMS, s..."
ham,Great comedy..cant stop laughing da:)
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep m...
ham,"Alright, we're all set here, text the man"
ham,"Hi , where are you? We're at and they're not ..."
ham,Sleeping nt feeling well
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,India have to take lead:)
ham,I.ll post her out l8r. In class
ham,Thts wat Wright Brother did to fly..
ham,Evening * v good if somewhat event laden. Will...
ham,If u laugh really loud.. If u talk spontaneous...
ham,ITS A LAPTOP TAKE IT WITH YOU.
ham,I dont have any of your file in my bag..i was ...
ham,I wan but too early lei... Me outside now wun ...
spam,For ur chance to win a ?250 cash every wk TXT:...
ham,I was at bugis juz now wat... But now i'm walk...
ham,"Wishing you and your family Merry ""X"" mas and ..."
ham,At 7 we will go ok na.
ham,Yes I posted a couple of pics on fb. There's s...
ham,S:-)if we have one good partnership going we w...
spam,RGENT! This is the 2nd attempt to contact U!U ...
ham,"Yeah, where's your class at?"
ham,No just send to you. Bec you in temple na.
ham,"You aren't coming home between class, right? I..."
spam,Hi if ur lookin 4 saucy daytime fun wiv busty ...
ham,S but mostly not like that.
ham,? v ma fan...
ham,Dunno cos i was v late n when i reach they ins...
ham,Guess who spent all last night phasing in and ...
ham,So now my dad is gonna call after he gets out ...
ham,"Yes..but they said its IT.,"
ham,"Very hurting n meaningful lines ever: ""I compr..."
ham,Lmao!nice 1
ham,Glad to see your reply.
spam,URGENT! We are trying to contact U. Todays dra...
spam,Monthly password for wap. mobsi.com is 391784....
ham,Nah dub but je still buff
ham,"Painful words- ""I thought being Happy was the ..."
ham,"Yeah, that's fine! It's ?6 to get in, is that ok?"
ham,Lol where do u come up with these ideas?
ham,So many people seems to be special at first si...
ham,"Today is ""song dedicated day.."" Which song wil..."
ham,Okay... We wait ah
ham,Y lei?
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO...
ham,Already am squatting is the new way of walking
ham,Do you want bold 2 or bb torch
ham,Cramps stopped. Going back to sleep
spam,todays vodafone numbers ending with 0089(my la...
spam,Free Top ringtone -sub to weekly ringtone-get ...
ham,Nan sonathaya soladha. Why boss?
ham,Bring tat cd don forget
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD playe...
ham,I don't know but I'm raping dudes at poker
ham,Weightloss! No more girl friends. Make loads o...
ham,Was gr8 to see that message. So when r u leavi...
ham,? eatin later but i'm eatin wif my frens now l...
ham,Finish already... Yar they keep saying i mushy...
ham,"Sorry man, my stash ran dry last night and I c..."
ham,Hai priya are you right. What doctor said pa. ...
spam,"Free msg. Sorry, a service you ordered from 81..."
ham,Ok...
ham,Please ask mummy to call father
ham,Can come my room but cannot come my house cos ...
ham,I have lost 10 kilos as of today!
ham,Just taste fish curry :-P
ham,What can i do? Might accidant tookplace betwee...
ham,Yun ah.now ¨¹ wkg where?btw if ¨¹ go nus sc. ?...
ham,Yes! I am a one woman man! Please tell me your...
ham,Was doing my test earlier. I appreciate you. W...
ham,How's my loverboy doing ? What does he do that...
ham,U meet other fren dun wan meet me ah... Muz b ...
ham,"(No promises on when though, haven't even gott..."
ham,I got your back! Do you have any dislikes in bed?
ham,o turns out i had stereo love on mi phone unde...
spam,Hard LIVE 121 chat just 60p/min. Choose your g...
ham,Yeah I don't see why not
ham,Asking do u knw them or nt? May be ur frnds or...
ham,Sorry about earlier. Putting out fires.Are you...
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. ...
ham,"As in missionary hook up, doggy hook up, stand..."
ham,Then u better go sleep.. Dun disturb u liao.. ...
ham,"Fighting with the world is easy, u either win ..."
ham,Am watching house ?very entertaining ?am getti...
ham,Thought praps you meant another one. Goodo! I'...
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & ..."
ham,There bold 2 &lt;#&gt; . Is that yours
ham,You know there is. I shall speak to you in &l...
ham,"""ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP G..."
ham,I went to project centre
ham,As per your request 'Maangalyam (Alaipayuthe)'...
ham,Lol yeah at this point I guess not
ham,Doing project w frens lor.
ham,Lol. Well quality aint bad at all so i aint co...
ham,"K, can that happen tonight?"
spam,"Hi, this is Mandy Sullivan calling from HOTMIX..."
ham,"I think we're going to finn's now, come"
ham,Why tired what special there you had
ham,I will come tomorrow di
ham,I cant pick the phone right now. Pls send a me...
ham,K go and sleep well. Take rest:-).
ham,U guys never invite me anywhere :(
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 a...
ham,I can do that! I want to please you both insid...
ham,"""EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IW..."
ham,I love to wine and dine my lady!
spam,Someone has conacted our dating service and en...
ham,I'm cool ta luv but v.tired 2 cause i have bee...
ham,I don know account details..i will ask my mom ...
ham,I think u have the wrong number.
ham,Feel Yourself That You Are Always Happy.. Slow...
ham,DO NOT B LATE LOVE MUM
ham,Got it..mail panren paru..
ham,* Was thinking about chuckin ur red green n bl...
ham,Give one miss from that number please
ham,Jus came back fr lunch wif my sis only. U leh?
ham,How is your schedule next week? I am out of to...
ham,Really good:)dhanush rocks once again:)
ham,Lmao ok I wont be needing u to do my hair anym...
ham,"Miss ya, need ya, want ya, love ya."
ham,Sorry i'm not free...
ham,Do u ever get a song stuck in your head for no...
ham,Nt yet chikku..simple habba..hw abt u?
ham,Got ur mail Dileep.thank you so muchand look f...
ham,Sometimes Heart Remembrs someone Very much... ...
ham,Joy's father is John. Then John is the NAME of...
spam,Hi 07734396839 IBH Customer Loyalty Offer: The...
ham,Hi this is yijue... It's regarding the 3230 te...
spam,SMS AUCTION You have won a Nokia 7250i. This i...
ham,"K, want us to come by now?"
ham,How. Its a little difficult but its a simple w...
ham,Ha... Both of us doing e same thing. But i got...
ham,Dont show yourself. How far. Put new pictures ...
ham,Watching tv now. I got new job :)
ham,Good afternoon sexy buns! How goes the job sea...
ham,"I'm not coming over, do whatever you want"
ham,"Its ok chikku, and its my 1 of favourite song...."
ham,Did u see what I posted on your Facebook?
spam,Call FREEPHONE 0800 542 0578 now!
spam,Buy Space Invaders 4 a chance 2 win orig Arcad...
ham,7 wonders in My WORLD 7th You 6th Ur style 5th...
spam,"Loan for any purpose ?500 - ?75,000. Homeowner..."
spam,BIG BROTHER ALERT! The computer has selected u...
ham,";-( oh well, c u later"
ham,My uncles in Atlanta. Wish you guys a great se...
ham,No dear i do have free messages without any re...
ham,"Dont search love, let love find U. Thats why i..."
ham,I dun believe u. I thk u told him.
ham,Do you know why god created gap between your f...
ham,Yes:)sura in sun tv.:)lol.
ham,Arun can u transfr me d amt
ham,Takin a shower now but yeah I'll leave when I'...
ham,Am not working but am up to eyes in philosophy...
ham,U haven't lost me ill always b here 4u.i didn'...
spam,WIN: We have a winner! Mr. T. Foley won an iPo...
ham,You bad girl. I can still remember them
ham,How much i gave to you. Morning.
ham,I hope your alright babe? I worry that you mig...
ham,"Hey, can you tell me blake's address? Carlos w..."
ham,Can i get your opinion on something first?
ham,That one week leave i put know that time. Why.
ham,"If we hit it off, you can move in with me :)"
ham,excellent. I spent &lt;#&gt; years in the Ai...
ham,I wanna watch that movie
ham,Ok lor thanx... ? in school?
ham,I'm in class. Did you get my text.
ham,The bus leaves at &lt;#&gt;
ham,God bless.get good sleep my dear...i will pray!
spam,Todays Voda numbers ending 1225 are selected t...
ham,Do have a nice day today. I love you so dearly.
ham,Aiyo a bit pai seh ¨¹ noe... Scared he dun rem...
ham,"Aight, I'll ask a few of my roommates"
ham,"Now, whats your house # again ? And do you hav..."
ham,Do ¨¹ all wan 2 meet up n combine all the part...
ham,"""Getting tickets 4 walsall tue 6 th march. My ..."
ham,Yes we are chatting too.
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT...
ham,Sian... Aft meeting supervisor got work 2 do l...
ham,Are you going to write ccna exam this week??
ham,Well i will watch shrek in 3D!!B)
ham,Am i that much dirty fellow?
ham,Dunno dat's wat he told me. Ok lor...
ham,I'll probably be by tomorrow (or even later to...
ham,I couldn't say no as he is a dying man and I f...
ham,If you're thinking of lifting me one then no.
ham,Same as u... Dun wan... Y u dun like me alread...
ham,Sent me ur email id soon
ham,Wat makes some people dearer is not just de ha...
ham,Dude. What's up. How Teresa. Hope you have bee...
ham,Hey gorgeous man. My work mobile number is. Ha...
ham,May i call You later Pls
spam,Hottest pics straight to your phone!! See me g...
ham,That's the way you should stay oh.
ham,Hello- thanx for taking that call. I got a job...
ham,What time is ur flight tmr?
ham,When should I come over?
ham,I have a rather prominent bite mark on my righ...
ham,* Will be september by then!
ham,Are you wet right now?
ham,And how's your husband.
spam,Hack Chat. Get backdoor entry into 121 chat ro...
ham,Are we doing the norm tomorrow? I finish just ...
ham,Yeah. I got a list with only u and Joanna if I...
ham,I am in your office na.
ham,"""Are you comingdown later?"""
ham,Super da:)good replacement for murali
ham,Da is good good player.why he is unsold.
